run_id,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,status
145,25,0.0,5,30,5,PENDING
146,25,0.0,5,30,10,PENDING
147,25,0.0,5,30,15,PENDING
148,25,0.0,5,50,5,PENDING
149,25,0.0,5,50,10,PENDING
150,25,0.0,5,50,15,PENDING
151,25,0.0,5,100,5,PENDING
152,25,0.0,5,100,10,PENDING
153,25,0.0,5,100,15,PENDING
154,25,0.0,5,150,5,PENDING
155,25,0.0,5,150,10,PENDING
156,25,0.0,5,150,15,PENDING
157,25,0.0,10,30,5,PENDING
158,25,0.0,10,30,10,PENDING
159,25,0.0,10,30,15,PENDING
160,25,0.0,10,50,5,PENDING
161,25,0.0,10,50,10,PENDING
162,25,0.0,10,50,15,PENDING
163,25,0.0,10,100,5,PENDING
164,25,0.0,10,100,10,PENDING
165,25,0.0,10,100,15,PENDING
166,25,0.0,10,150,5,PENDING
167,25,0.0,10,150,10,PENDING
168,25,0.0,10,150,15,PENDING
169,25,0.1,5,30,5,PENDING
170,25,0.1,5,30,10,PENDING
171,25,0.1,5,30,15,PENDING
172,25,0.1,5,50,5,PENDING
173,25,0.1,5,50,10,PENDING
174,25,0.1,5,50,15,PENDING
175,25,0.1,5,100,5,PENDING
176,25,0.1,5,100,10,PENDING
177,25,0.1,5,100,15,PENDING
178,25,0.1,5,150,5,PENDING
179,25,0.1,5,150,10,PENDING
180,25,0.1,5,150,15,PENDING
181,25,0.1,10,30,5,PENDING
182,25,0.1,10,30,10,PENDING
183,25,0.1,10,30,15,PENDING
184,25,0.1,10,50,5,PENDING
185,25,0.1,10,50,10,PENDING
186,25,0.1,10,50,15,PENDING
187,25,0.1,10,100,5,PENDING
188,25,0.1,10,100,10,PENDING
189,25,0.1,10,100,15,PENDING
190,25,0.1,10,150,5,PENDING
191,25,0.1,10,150,10,PENDING
192,25,0.1,10,150,15,PENDING
193,25,0.3,5,30,5,PENDING
194,25,0.3,5,30,10,PENDING
