distress_type,advice_guidance,blame_criticism,crisis_escalation,dismissive_minimizing,encouragement_motivation,humor_meme_coping,information_resources,neutral_discussion,personal_experience,self_disclosure,support_empathy,toxic_abusive
suicidal,20.0,0.3,3.5,1.6,5.0,16.7,5.0,35.0,2.4,1.5,3.1,6.1
depression_anxiety,24.0,0.5,1.1,1.5,4.8,13.9,5.4,36.8,2.4,2.0,2.7,4.9
academic_burnout,22.8,0.4,0.9,1.5,3.0,15.8,6.6,39.4,2.0,1.4,1.8,4.3
exam_stress,22.6,0.2,0.4,1.2,3.3,18.0,6.4,39.0,2.1,1.3,1.4,4.3
career_anxiety,27.0,0.3,0.7,1.6,3.8,7.7,6.5,42.4,1.9,2.4,2.2,3.6
institutional_anger,8.1,0.1,0.4,0.7,2.3,21.4,4.2,53.4,1.7,0.4,0.5,6.9
meme_distress,11.3,0.3,0.4,0.8,2.0,20.2,5.5,50.9,1.8,0.6,0.8,5.4
