model,p@10,r@10,map,mrr,ndcg@10,avg_relevance
MuRIL,0.612,0.0004434625136674488,0.7323380511463846,0.7911111111111111,0.21808612484376563,0.179914291203022
MentalBERT,0.444,0.0003214440627956916,0.5434043209876543,0.601,0.14876934898080343,0.1161619070917368
HingBERT-Mixed-v2,0.544,0.0003798412732467611,0.7211487654320987,0.8157142857142857,0.1885459773113377,0.14977143198251724
HingRoBERTa-Mixed,0.8440000000000001,0.0006061853849599115,0.9284158793146888,0.97,0.3422709826715578,0.285742866769433
BGE-m3,0.8439999999999999,0.0006747026539384031,0.9326598639455783,1.0,0.4371791827149366,0.35917143121361733
